2024-07-13 07:46:09,975 INFO ============= Start ============
2024-07-13 07:56:39,867 INFO No evasive samples, sleep...
2024-07-13 07:56:45,373 INFO No evasive samples, sleep...
2024-07-13 07:56:50,878 INFO No evasive samples, sleep...
2024-07-13 07:56:56,385 INFO No evasive samples, sleep...
2024-07-13 07:57:01,892 INFO No evasive samples, sleep...
2024-07-13 07:57:07,399 INFO No evasive samples, sleep...
2024-07-13 07:57:12,902 INFO No evasive samples, sleep...
2024-07-13 07:57:18,409 INFO No evasive samples, sleep...
2024-07-13 07:57:23,916 INFO No evasive samples, sleep...
2024-07-13 07:57:29,423 INFO No evasive samples, sleep...
2024-07-13 07:57:34,928 INFO No evasive samples, sleep...
2024-07-13 07:57:40,431 INFO No evasive samples, sleep...
2024-07-13 07:57:45,937 INFO No evasive samples, sleep...
2024-07-13 07:57:51,443 INFO No evasive samples, sleep...
2024-07-13 07:57:56,951 INFO No evasive samples, sleep...
2024-07-13 07:58:02,457 INFO No evasive samples, sleep...
2024-07-13 07:58:07,960 INFO No evasive samples, sleep...
2024-07-13 07:58:13,465 INFO No evasive samples, sleep...
2024-07-13 07:58:18,972 INFO No evasive samples, sleep...
2024-07-13 07:58:24,477 INFO No evasive samples, sleep...
2024-07-13 07:58:29,984 INFO No evasive samples, sleep...
2024-07-13 07:58:35,488 INFO No evasive samples, sleep...
2024-07-13 07:58:40,992 INFO No evasive samples, sleep...
2024-07-13 07:58:46,499 INFO No evasive samples, sleep...
2024-07-13 07:58:52,006 INFO No evasive samples, sleep...
2024-07-13 07:58:57,512 INFO No evasive samples, sleep...
2024-07-13 07:59:03,020 INFO No evasive samples, sleep...
2024-07-13 07:59:08,529 INFO No evasive samples, sleep...
2024-07-13 07:59:14,035 INFO No evasive samples, sleep...
2024-07-13 07:59:19,543 INFO No evasive samples, sleep...
2024-07-13 07:59:25,050 INFO No evasive samples, sleep...
2024-07-13 07:59:30,556 INFO No evasive samples, sleep...
2024-07-13 07:59:36,063 INFO No evasive samples, sleep...
2024-07-13 07:59:41,570 INFO No evasive samples, sleep...
2024-07-13 07:59:47,079 INFO No evasive samples, sleep...
2024-07-13 07:59:52,583 INFO No evasive samples, sleep...
2024-07-13 07:59:58,090 INFO No evasive samples, sleep...
2024-07-13 08:00:03,597 INFO No evasive samples, sleep...
2024-07-13 08:00:09,101 INFO No evasive samples, sleep...
2024-07-13 08:00:14,608 INFO No evasive samples, sleep...
2024-07-13 08:00:20,112 INFO No evasive samples, sleep...
2024-07-13 08:00:25,619 INFO No evasive samples, sleep...
2024-07-13 08:00:31,123 INFO No evasive samples, sleep...
2024-07-13 08:00:36,630 INFO No evasive samples, sleep...
2024-07-13 08:00:42,138 INFO No evasive samples, sleep...
2024-07-13 08:00:47,644 INFO No evasive samples, sleep...
2024-07-13 08:00:53,148 INFO No evasive samples, sleep...
2024-07-13 08:00:58,655 INFO No evasive samples, sleep...
2024-07-13 08:01:04,162 INFO No evasive samples, sleep...
2024-07-13 08:01:09,669 INFO No evasive samples, sleep...
2024-07-13 08:01:15,176 INFO No evasive samples, sleep...
2024-07-13 08:01:20,681 INFO No evasive samples, sleep...
2024-07-13 08:01:26,188 INFO No evasive samples, sleep...
2024-07-13 08:01:31,691 INFO No evasive samples, sleep...
2024-07-13 08:01:37,195 INFO No evasive samples, sleep...
2024-07-13 08:01:42,699 INFO No evasive samples, sleep...
2024-07-13 08:01:48,203 INFO No evasive samples, sleep...
2024-07-13 08:01:53,707 INFO No evasive samples, sleep...
2024-07-13 08:01:59,214 INFO No evasive samples, sleep...
2024-07-13 08:02:04,722 INFO No evasive samples, sleep...
2024-07-13 08:02:10,229 INFO No evasive samples, sleep...
2024-07-13 08:02:15,735 INFO No evasive samples, sleep...
2024-07-13 08:02:21,243 INFO No evasive samples, sleep...
2024-07-13 08:02:26,748 INFO No evasive samples, sleep...
2024-07-13 08:02:32,253 INFO No evasive samples, sleep...
2024-07-13 08:02:37,759 INFO No evasive samples, sleep...
2024-07-13 08:02:43,264 INFO No evasive samples, sleep...
2024-07-13 08:02:48,771 INFO No evasive samples, sleep...
2024-07-13 08:02:54,277 INFO No evasive samples, sleep...
2024-07-13 08:02:59,784 INFO No evasive samples, sleep...
2024-07-13 08:03:05,291 INFO No evasive samples, sleep...
2024-07-13 08:03:10,796 INFO No evasive samples, sleep...
2024-07-13 08:03:16,300 INFO No evasive samples, sleep...
2024-07-13 08:03:21,804 INFO No evasive samples, sleep...
2024-07-13 08:03:27,308 INFO No evasive samples, sleep...
2024-07-13 08:03:32,813 INFO No evasive samples, sleep...
2024-07-13 08:03:38,316 INFO No evasive samples, sleep...
2024-07-13 08:03:43,820 INFO No evasive samples, sleep...
2024-07-13 08:03:49,325 INFO No evasive samples, sleep...
2024-07-13 08:03:54,832 INFO No evasive samples, sleep...
2024-07-13 08:04:00,336 INFO No evasive samples, sleep...
2024-07-13 08:04:05,841 INFO No evasive samples, sleep...
2024-07-13 08:04:11,347 INFO No evasive samples, sleep...
2024-07-13 08:04:16,851 INFO No evasive samples, sleep...
2024-07-13 08:04:22,357 INFO No evasive samples, sleep...
2024-07-13 08:04:27,863 INFO No evasive samples, sleep...
2024-07-13 08:04:33,368 INFO No evasive samples, sleep...
2024-07-13 08:04:38,871 INFO No evasive samples, sleep...
2024-07-13 08:04:44,375 INFO No evasive samples, sleep...
2024-07-13 08:04:49,880 INFO No evasive samples, sleep...
2024-07-13 08:04:55,386 INFO No evasive samples, sleep...
2024-07-13 08:05:00,892 INFO No evasive samples, sleep...
2024-07-13 08:05:06,398 INFO No evasive samples, sleep...
2024-07-13 08:05:11,905 INFO No evasive samples, sleep...
2024-07-13 08:05:17,411 INFO No evasive samples, sleep...
2024-07-13 08:05:22,916 INFO No evasive samples, sleep...
2024-07-13 08:05:28,417 INFO No evasive samples, sleep...
2024-07-13 08:05:33,923 INFO No evasive samples, sleep...
2024-07-13 08:05:39,427 INFO No evasive samples, sleep...
2024-07-13 08:05:44,932 INFO No evasive samples, sleep...
2024-07-13 08:05:50,435 INFO No evasive samples, sleep...
2024-07-13 08:05:55,940 INFO No evasive samples, sleep...
2024-07-13 08:06:01,445 INFO No evasive samples, sleep...
2024-07-13 08:06:06,951 INFO No evasive samples, sleep...
2024-07-13 08:06:12,456 INFO No evasive samples, sleep...
2024-07-13 08:06:17,959 INFO No evasive samples, sleep...
2024-07-13 08:06:23,466 INFO No evasive samples, sleep...
2024-07-13 08:06:28,972 INFO No evasive samples, sleep...
2024-07-13 08:06:34,478 INFO No evasive samples, sleep...
2024-07-13 08:06:39,984 INFO No evasive samples, sleep...
2024-07-13 08:06:45,487 INFO No evasive samples, sleep...
2024-07-13 08:06:50,991 INFO No evasive samples, sleep...
2024-07-13 08:06:56,496 INFO No evasive samples, sleep...
2024-07-13 08:07:02,000 INFO No evasive samples, sleep...
2024-07-13 08:07:07,503 INFO No evasive samples, sleep...
2024-07-13 08:07:13,008 INFO No evasive samples, sleep...
2024-07-13 08:07:18,512 INFO No evasive samples, sleep...
2024-07-13 08:07:24,015 INFO No evasive samples, sleep...
2024-07-13 08:07:29,522 INFO No evasive samples, sleep...
2024-07-13 08:07:35,028 INFO No evasive samples, sleep...
2024-07-13 08:07:40,531 INFO No evasive samples, sleep...
2024-07-13 08:07:46,035 INFO No evasive samples, sleep...
2024-07-13 08:07:51,539 INFO No evasive samples, sleep...
2024-07-13 08:07:57,044 INFO No evasive samples, sleep...
2024-07-13 08:08:02,549 INFO No evasive samples, sleep...
2024-07-13 08:08:08,051 INFO No evasive samples, sleep...
2024-07-13 08:08:13,554 INFO No evasive samples, sleep...
2024-07-13 08:08:19,060 INFO No evasive samples, sleep...
2024-07-13 08:08:24,567 INFO No evasive samples, sleep...
2024-07-13 08:08:30,073 INFO No evasive samples, sleep...
2024-07-13 08:08:35,575 INFO No evasive samples, sleep...
2024-07-13 08:08:41,080 INFO No evasive samples, sleep...
2024-07-13 08:08:46,583 INFO No evasive samples, sleep...
2024-07-13 08:08:52,089 INFO No evasive samples, sleep...
2024-07-13 08:08:57,595 INFO No evasive samples, sleep...
2024-07-13 08:09:03,101 INFO No evasive samples, sleep...
2024-07-13 08:09:08,608 INFO No evasive samples, sleep...
2024-07-13 08:09:14,113 INFO No evasive samples, sleep...
2024-07-13 08:09:19,619 INFO No evasive samples, sleep...
2024-07-13 08:09:25,123 INFO No evasive samples, sleep...
2024-07-13 08:09:30,630 INFO No evasive samples, sleep...
2024-07-13 08:09:36,135 INFO No evasive samples, sleep...
2024-07-13 08:09:41,641 INFO No evasive samples, sleep...
2024-07-13 08:09:47,148 INFO No evasive samples, sleep...
2024-07-13 08:09:52,654 INFO No evasive samples, sleep...
2024-07-13 08:09:58,161 INFO No evasive samples, sleep...
2024-07-13 08:10:03,667 INFO No evasive samples, sleep...
2024-07-13 08:10:09,172 INFO No evasive samples, sleep...
2024-07-13 08:10:14,678 INFO No evasive samples, sleep...
2024-07-13 08:10:20,183 INFO No evasive samples, sleep...
2024-07-13 08:10:25,687 INFO No evasive samples, sleep...
2024-07-13 08:10:31,192 INFO No evasive samples, sleep...
2024-07-13 08:10:36,699 INFO No evasive samples, sleep...
2024-07-13 08:10:42,204 INFO No evasive samples, sleep...
2024-07-13 08:10:47,707 INFO No evasive samples, sleep...
2024-07-13 08:10:53,212 INFO No evasive samples, sleep...
2024-07-13 08:10:58,715 INFO No evasive samples, sleep...
2024-07-13 08:11:04,219 INFO No evasive samples, sleep...
2024-07-13 08:11:09,724 INFO No evasive samples, sleep...
2024-07-13 08:11:15,231 INFO No evasive samples, sleep...
2024-07-13 08:11:20,735 INFO No evasive samples, sleep...
2024-07-13 08:11:26,242 INFO No evasive samples, sleep...
2024-07-13 08:11:31,748 INFO No evasive samples, sleep...
2024-07-13 08:11:37,252 INFO No evasive samples, sleep...
2024-07-13 08:11:42,759 INFO No evasive samples, sleep...
2024-07-13 08:11:48,265 INFO No evasive samples, sleep...
2024-07-13 08:11:53,772 INFO No evasive samples, sleep...
2024-07-13 08:11:59,276 INFO No evasive samples, sleep...
2024-07-13 08:12:04,782 INFO No evasive samples, sleep...
2024-07-13 08:12:10,288 INFO No evasive samples, sleep...
2024-07-13 08:12:15,794 INFO No evasive samples, sleep...
2024-07-13 08:12:21,300 INFO No evasive samples, sleep...
2024-07-13 08:12:26,803 INFO No evasive samples, sleep...
2024-07-13 08:12:32,307 INFO No evasive samples, sleep...
2024-07-13 08:12:37,812 INFO No evasive samples, sleep...
2024-07-13 08:12:43,315 INFO No evasive samples, sleep...
2024-07-13 08:12:48,821 INFO No evasive samples, sleep...
2024-07-13 08:12:54,328 INFO No evasive samples, sleep...
2024-07-13 08:12:59,831 INFO No evasive samples, sleep...
2024-07-13 08:13:05,337 INFO No evasive samples, sleep...
2024-07-13 08:13:10,840 INFO No evasive samples, sleep...
2024-07-13 08:13:16,343 INFO No evasive samples, sleep...
2024-07-13 08:13:21,848 INFO No evasive samples, sleep...
2024-07-13 08:13:27,351 INFO No evasive samples, sleep...
2024-07-13 08:13:32,856 INFO No evasive samples, sleep...
2024-07-13 08:13:38,410 INFO No evasive samples, sleep...
2024-07-13 08:13:43,930 INFO No evasive samples, sleep...
2024-07-13 08:13:49,450 INFO No evasive samples, sleep...
2024-07-13 08:13:54,957 INFO No evasive samples, sleep...
2024-07-13 08:14:00,472 INFO No evasive samples, sleep...
2024-07-13 08:14:05,981 INFO No evasive samples, sleep...
2024-07-13 08:14:11,489 INFO No evasive samples, sleep...
2024-07-13 08:14:16,992 INFO No evasive samples, sleep...
2024-07-13 08:14:22,520 INFO No evasive samples, sleep...
2024-07-13 08:14:28,041 INFO No evasive samples, sleep...
2024-07-13 08:14:33,553 INFO No evasive samples, sleep...
2024-07-13 08:14:39,061 INFO No evasive samples, sleep...
2024-07-13 08:14:44,573 INFO No evasive samples, sleep...
2024-07-13 08:14:50,084 INFO No evasive samples, sleep...
2024-07-13 08:14:55,624 INFO No evasive samples, sleep...
2024-07-13 08:15:01,152 INFO No evasive samples, sleep...
2024-07-13 08:15:06,733 INFO No evasive samples, sleep...
2024-07-13 08:15:12,235 INFO No evasive samples, sleep...
2024-07-13 08:15:17,745 INFO No evasive samples, sleep...
2024-07-13 08:15:23,262 INFO No evasive samples, sleep...
2024-07-13 08:15:28,773 INFO No evasive samples, sleep...
2024-07-13 08:15:34,279 INFO No evasive samples, sleep...
2024-07-13 08:15:39,790 INFO No evasive samples, sleep...
2024-07-13 08:15:45,309 INFO No evasive samples, sleep...
2024-07-13 08:15:50,830 INFO No evasive samples, sleep...
2024-07-13 08:15:56,339 INFO No evasive samples, sleep...
2024-07-13 08:16:01,846 INFO No evasive samples, sleep...
2024-07-13 08:16:07,352 INFO No evasive samples, sleep...
2024-07-13 08:16:12,857 INFO No evasive samples, sleep...
2024-07-13 08:16:18,380 INFO No evasive samples, sleep...
2024-07-13 08:16:23,892 INFO No evasive samples, sleep...
2024-07-13 08:16:29,397 INFO No evasive samples, sleep...
2024-07-13 08:16:34,903 INFO No evasive samples, sleep...
2024-07-13 08:16:40,422 INFO No evasive samples, sleep...
2024-07-13 08:16:45,927 INFO No evasive samples, sleep...
2024-07-13 08:16:51,439 INFO No evasive samples, sleep...
2024-07-13 08:16:56,949 INFO No evasive samples, sleep...
2024-07-13 08:17:02,455 INFO No evasive samples, sleep...
2024-07-13 08:17:07,965 INFO No evasive samples, sleep...
2024-07-13 08:17:13,471 INFO No evasive samples, sleep...
2024-07-13 08:17:18,988 INFO No evasive samples, sleep...
2024-07-13 08:17:24,573 INFO No evasive samples, sleep...
2024-07-13 08:17:30,492 INFO No evasive samples, sleep...
2024-07-13 08:17:36,014 INFO No evasive samples, sleep...
2024-07-13 08:17:41,527 INFO No evasive samples, sleep...
2024-07-13 08:17:47,043 INFO No evasive samples, sleep...
2024-07-13 08:17:52,660 INFO No evasive samples, sleep...
2024-07-13 08:17:58,221 INFO No evasive samples, sleep...
2024-07-13 08:18:03,885 INFO No evasive samples, sleep...
2024-07-13 08:18:09,405 INFO No evasive samples, sleep...
2024-07-13 08:18:14,911 INFO No evasive samples, sleep...
2024-07-13 08:18:20,488 INFO No evasive samples, sleep...
2024-07-13 08:18:25,998 INFO No evasive samples, sleep...
2024-07-13 08:18:31,536 INFO No evasive samples, sleep...
2024-07-13 08:18:37,053 INFO No evasive samples, sleep...
2024-07-13 08:18:42,571 INFO No evasive samples, sleep...
2024-07-13 08:18:48,085 INFO No evasive samples, sleep...
2024-07-13 08:18:53,603 INFO No evasive samples, sleep...
2024-07-13 08:18:59,165 INFO No evasive samples, sleep...
2024-07-13 08:19:04,681 INFO No evasive samples, sleep...
2024-07-13 08:19:10,194 INFO No evasive samples, sleep...
2024-07-13 08:19:15,704 INFO No evasive samples, sleep...
2024-07-13 08:19:21,208 INFO No evasive samples, sleep...
2024-07-13 08:19:26,717 INFO No evasive samples, sleep...
2024-07-13 08:19:32,248 INFO No evasive samples, sleep...
2024-07-13 08:19:37,913 INFO No evasive samples, sleep...
2024-07-13 08:19:43,453 INFO No evasive samples, sleep...
2024-07-13 08:19:48,965 INFO No evasive samples, sleep...
2024-07-13 08:19:54,467 INFO No evasive samples, sleep...
2024-07-13 08:19:59,974 INFO No evasive samples, sleep...
2024-07-13 08:20:05,480 INFO No evasive samples, sleep...
2024-07-13 08:20:10,983 INFO No evasive samples, sleep...
2024-07-13 08:20:16,526 INFO No evasive samples, sleep...
2024-07-13 08:20:22,046 INFO No evasive samples, sleep...
2024-07-13 08:20:27,566 INFO No evasive samples, sleep...
2024-07-13 08:20:33,073 INFO No evasive samples, sleep...
2024-07-13 08:20:38,626 INFO No evasive samples, sleep...
2024-07-13 08:20:44,138 INFO No evasive samples, sleep...
2024-07-13 08:20:49,646 INFO No evasive samples, sleep...
2024-07-13 08:20:55,151 INFO No evasive samples, sleep...
2024-07-13 08:21:00,660 INFO No evasive samples, sleep...
2024-07-13 08:21:06,249 INFO No evasive samples, sleep...
2024-07-13 08:21:11,797 INFO No evasive samples, sleep...
2024-07-13 08:21:17,308 INFO No evasive samples, sleep...
2024-07-13 08:21:22,815 INFO No evasive samples, sleep...
2024-07-13 08:21:28,319 INFO No evasive samples, sleep...
2024-07-13 08:21:33,828 INFO No evasive samples, sleep...
2024-07-13 08:21:39,334 INFO No evasive samples, sleep...
2024-07-13 08:21:44,845 INFO No evasive samples, sleep...
2024-07-13 08:21:50,383 INFO No evasive samples, sleep...
2024-07-13 08:21:55,893 INFO No evasive samples, sleep...
2024-07-13 08:22:01,470 INFO No evasive samples, sleep...
2024-07-13 08:22:07,088 INFO No evasive samples, sleep...
2024-07-13 08:22:12,613 INFO No evasive samples, sleep...
2024-07-13 08:22:18,131 INFO No evasive samples, sleep...
2024-07-13 08:22:23,639 INFO No evasive samples, sleep...
2024-07-13 08:22:29,143 INFO No evasive samples, sleep...
2024-07-13 08:22:34,653 INFO No evasive samples, sleep...
2024-07-13 08:22:40,160 INFO No evasive samples, sleep...
2024-07-13 08:22:45,688 INFO No evasive samples, sleep...
2024-07-13 08:22:51,194 INFO No evasive samples, sleep...
2024-07-13 08:22:56,727 INFO No evasive samples, sleep...
2024-07-13 08:23:02,272 INFO No evasive samples, sleep...
2024-07-13 08:23:07,780 INFO No evasive samples, sleep...
2024-07-13 08:23:13,287 INFO No evasive samples, sleep...
2024-07-13 08:23:18,822 INFO No evasive samples, sleep...
2024-07-13 08:23:24,361 INFO No evasive samples, sleep...
2024-07-13 08:23:29,873 INFO No evasive samples, sleep...
2024-07-13 08:23:35,378 INFO No evasive samples, sleep...
2024-07-13 08:23:40,909 INFO No evasive samples, sleep...
2024-07-13 08:23:46,579 INFO 70c3d03a: [CR] (-1, 1) [OA1]
2024-07-13 08:23:46,750 INFO bfbb61d5: [CR] (-1, 1) [OA1]
2024-07-13 08:23:54,894 INFO 384bcd68: [CR] (-1, 1) [OA1]
2024-07-13 08:23:55,387 INFO c4295ef5: [CR] (-1, 1) [OA1]
2024-07-13 08:23:55,503 INFO 70c3d03a: [FAIL] output/minimizer_output/70c3d03a85249f838aeb8377ea04d35409d2484a62cf31718a02309eef2ec70f.OA1
2024-07-13 08:23:55,515 INFO bfbb61d5: [FAIL] output/minimizer_output/bfbb61d5cc333277473109c7a1c517b9645e4fe515ec6ea1e73741837cfd9242.OA1
2024-07-13 08:23:56,195 INFO 70c3d03a: [CR] (-1, 2) [CP1]
2024-07-13 08:23:56,430 INFO bfbb61d5: [CR] (-1, 2) [CP1]
2024-07-13 08:24:14,643 INFO b6cc9579: [CR] (-1, 1) [OA1]
2024-07-13 08:24:14,689 INFO 384bcd68: [FAIL] output/minimizer_output/384bcd688604b1aa50ac9351f234754f9267d3276ab864de26e1c2e294dc08b8.OA1
2024-07-13 08:24:14,690 INFO 70c3d03a: [FAIL] output/minimizer_output/70c3d03a85249f838aeb8377ea04d35409d2484a62cf31718a02309eef2ec70f.CP1
2024-07-13 08:24:14,693 INFO bfbb61d5: [FAIL] output/minimizer_output/bfbb61d5cc333277473109c7a1c517b9645e4fe515ec6ea1e73741837cfd9242.CP1
2024-07-13 08:24:14,694 INFO c4295ef5: [FAIL] output/minimizer_output/c4295ef5c535c921b553694066bc1db7a54ea2ab8073f2244f1c46b939b49082.OA1
2024-07-13 08:24:15,515 INFO 384bcd68: [CR] (-1, 2) [CP1]
2024-07-13 08:24:15,643 INFO 70c3d03a: [CR] (-1, -1) [CR]
2024-07-13 08:24:15,760 INFO bfbb61d5: [CR] (-1, -1) [CR]
2024-07-13 08:24:15,993 INFO c4295ef5: [CR] (-1, 2) [CP1]
2024-07-13 08:24:34,363 INFO b6cc9579: [FAIL] output/minimizer_output/b6cc9579c46ffa02d1ad2a3c772d59387862b8afd7870465d7c51c0ed5c2c5f8.OA1
2024-07-13 08:24:34,367 INFO c4295ef5: [FAIL] output/minimizer_output/c4295ef5c535c921b553694066bc1db7a54ea2ab8073f2244f1c46b939b49082.CP1
2024-07-13 08:24:34,975 INFO b6cc9579: [CR] (-1, 2) [CP1]
2024-07-13 08:24:35,313 INFO c4295ef5: [CR] (-1, -1) [CR]
2024-07-13 08:24:59,077 INFO b6cc9579: [FAIL] output/minimizer_output/b6cc9579c46ffa02d1ad2a3c772d59387862b8afd7870465d7c51c0ed5c2c5f8.CP1
2024-07-13 08:24:59,656 INFO b6cc9579: [CR] (-1, -1) [CR]
2024-07-13 08:25:00,354 INFO b983ac0c: [CR] (-1, 1) [OA1]
2024-07-13 08:25:05,673 INFO 76a3883d: [CR,SA] (-1, 1) [--,OA1]
2024-07-13 08:25:10,711 INFO cf210cdc: [CR,BC] (-1, 1) [--,OA1]
2024-07-13 08:25:16,388 INFO 76a3883d: [FAIL] output/minimizer_output/76a3883da15069287c8972099fc922477e41f3160599eb86de4ad9377a3f43ed.OA1
2024-07-13 08:25:16,389 INFO b983ac0c: [FAIL] output/minimizer_output/b983ac0c5c97282437c5f927ba625f812cb1937cdc76e72a9d4741040a50263a.OA1
2024-07-13 08:25:17,122 INFO 76a3883d: [CR,SA] (-1, 2) [--,SA1]
2024-07-13 08:25:17,252 INFO b983ac0c: [CR] (-1, 2) [CP1]
